#################################################################################################################################################################
#
# This is Table C1 from Krajnovic et al. 2012: "The ATLAS3D Project - XVII. Linking photometric and kinematic signatures of stellar discs in early-type galaxies"
#
#################################################################################################################################################################
# Its contents are: 
# 
# Column (1): The Name is the principal designation from LEDA, which is used as standard designation.
# Column (2,3): Effective surface brightness of the single Sersic fit.
# Column (4,5): Effective radius of the  single Sersic fit in arcsec + error.
# Column (6-7):  S\'ersic index of the single Sersic fit + error.
# Column (8,9): Effective surface brightness of the bulge component in mag arcsec$^{-2}$ +error.
# Column (10,11): Effective radius of the bulge in arcsec + error.
# Column (12,13): S\'ersic index of the bulge component + error.
# Column (14): Flattening of the bulge component.
# Column (15,16): Effective surface brightness of the exponential component in mag arcsec$^{-2}$ +error.
# Column (17,18): Effective radius of the exponential component in arcsec+error.  
# Column (19):  Flattening of the exponential component.  
# Column (20,21): Disk-to-Total light ratio +error. 
#
# Note that Columns (2)-(4) are results of one component S\'ersic fits to profiles azimuthally averaged along 
# fixed ellipses, while columns (6)-(12) are results of two components fits to profiles azimuthally averaged 
# along free ellipses. This explains the difference between ($\mu_g$, $R_g$, $n_g$) and ($\mu_b$, $R_b$, $n_b$) 
# when two component fit was not required ($\mu_d=0$, $R_d=0$).
#
####################################################################################################################################################################
    name       mu_e      er_mu_e    R_e      er_R_e       n       er_n      mu_e_b  er_mu_e_b    R_e_b    er_R_e_b    n_b      er_n_b    q_b       m0_d    er_m0_d      R_d     er_R_d     q_d       D/T      er_dt
   NGC3098     19.29      0.03      15.7       0.2       1.6       0.0      18.61      0.75       2.1       1.5       0.6       0.1      0.80     17.66      0.03       9.9       0.5      0.36      0.94     0.060
   NGC3156     20.84      0.03      19.9       0.3       1.8       0.1      20.89      0.03      20.5       0.2       1.5       0.0      0.52      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3182     21.60      0.06      21.3       0.6       2.9       0.1      21.75      0.09      22.6       1.0       3.1       0.2      0.85      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3193     21.52      0.04      33.1       0.6       5.3       0.1      23.58      1.05      90.3      17.5       9.3       0.8      0.87     19.37      0.07       6.2       3.3      0.85      0.04     0.023
   NGC3226     22.95      0.29      65.4      13.3       4.6       0.7      21.98      0.46      27.2      28.9       5.1       0.6      0.83     21.02      0.12      29.4       4.9      0.83      0.41     0.210
   NGC3230     20.35      0.12      19.5       1.2       2.0       0.3       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3245     20.32      0.31      24.5       7.0       3.2       1.9      18.53      0.47       5.9       4.5       2.3       1.3      0.71     19.06      0.05      20.6       1.0      0.54      0.67     0.147
   NGC3248     22.08      0.31      27.8       5.6       5.2       1.5       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3301     20.28      0.19      27.0       3.5       2.2       0.8       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3377     21.61      0.16      53.4       4.5       5.0       0.5      18.44      0.51       7.2       2.0       2.5       1.7      0.52     18.81      0.03      21.9       1.0      0.49      0.69     0.130
   NGC3379     20.83      0.23      49.7       6.4       5.3       0.9      20.74      0.65      40.4      16.9       6.2       1.9      0.86     20.48      0.10      36.3       6.7      0.87      0.19     0.126
   NGC3384     20.40      0.31      40.8      14.2       5.1       2.1       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3400     20.95      0.10      14.6       0.6       1.4       0.2       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3412     20.36      0.28      28.1      10.0       2.8       2.2       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3414     21.37      0.19      33.4       3.5       4.2       0.6      18.95      0.31       6.8       1.0       2.3       0.9      0.78     19.87      0.04      24.4       0.7      0.76      0.66     0.086
   NGC3457     20.22      0.09       9.7       0.4       1.2       0.1      18.26      0.54       1.8       1.0       0.8       0.3      1.00     18.56      0.04       6.3       0.1      0.95      0.84     0.063
   NGC3458     19.97      0.32      10.1       2.3       1.7       0.9       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3489     19.51      0.13      22.7       1.6       2.9       0.5       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3499     20.31      0.18       7.6       0.7       1.4       0.3      20.27      0.23       7.6       1.0       1.2       0.4      0.85      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3522     21.32      0.05      16.3       0.4       3.5       0.2      21.80      0.10      19.9       0.9       3.6       0.3      0.54      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3530     19.35      0.12       6.1       0.4       2.2       0.2      19.41      0.06       7.5       0.2       1.0       0.1      0.73      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3595     20.76      0.23      15.9       2.1       3.8       1.1       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3599     23.23      0.46      46.8      17.0       5.5       1.6       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3605     21.34      0.44      18.5       6.5       6.1       2.7      19.78      0.64       5.5       2.9       3.5       2.3      0.68     19.38      0.05       9.6       0.6      0.62      0.54     0.157
   NGC3607     21.74      0.18      59.5       5.6       5.7       0.5      21.21      0.14      46.5       3.2       5.0       0.4      0.89      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC3608     21.21      0.19      31.0       3.0       3.9       0.5      19.38      0.38       8.7      12.1       2.7       0.5      0.81     20.00      0.06      24.2       9.5      0.78      0.58     0.326
   NGC3610     19.69      0.09      15.1       0.7       5.3       0.4      17.03      0.05       3.9       0.1       1.1       0.1      0.55     18.18      0.01      11.8       0.2      0.63      0.64     0.012
   NGC3613     20.69      0.06      29.7       0.8       3.8       0.2      19.08      0.44       7.6       4.5       1.9       1.0      0.66     18.96      0.04      19.1       1.6      0.54      0.69     0.181
